abash	xb@S-	0>1<<	0
abatis	@bxti-	1<0>2<	2
abbey	@b-i-	1<>0<	0
abjection	@bJEkS-xn	0<>1<>0<<	0
able	ebL-	1>>0	0
about	xbW-t	0>1<<	0
above	xb^v-	0>1<<	0
abracadabra	@brxkxd@brx	2<>0>0>1<>0	0
accede	@ksid-	0<>1<<	0
accentual	@ksEnCYxl	0<>1<<00<	0
accommodate	xk-am-xdet-	0<>1<>0>2<<	0
account	xk-W-nt	0<>1<<<	0
acidulous	xsIJxlx-s	0>1<0>0<<	0
across	xkrcs-	0>>1<<	0
acrostic	xkrcstIk	0>>1>>0<	0
act	@kt	1<<	0
action	@kS-xn	1<>0<<	0
active	@ktIv-	1<>0<<	0
activity	@ktIvxti	0<>1<0<0	0
actual	@kCYxl	1<>00<	0
actually	@kCYxl-i	1<>00<>0	0
adaptability	xd@ptxbIlxti	0>2<>0>1<0<0	0
add	@d-	1<<	0
addition	xd-IS-xn	0<>1<0<<	0
additional	xd-IS-xn-L	0<>1<0>>0<	0
address	xd-rEs-	0<>>1<<	0
adept	@dEpt	1<2<<	0
adjudicate	x-JudIket-	0>>1<0>2<<	0
admonition	@dmxnIS-xn	2<>0>1<0<<	0
advisement	xdvAz-mxnt	0<>1<>>0<<	0
advisory	xdvAzxri	0<>1<0>0	0
aerobe	@-Rob-	10<2<<	0
affably	@f-xbli	1<>0>>0	0
after	@ft-R	1<>0<	0
afternoon	@ft-Rnu-n	2<>0<>1<<	0
again	xgE-n	0>1<<	0
against	xgE-nst	0>1<<<<	0
age	eJ-	1<<	0
ago	xgo	0>1	0
agree	xgri-	0>>1<	0
ahead	xhE-d	0>1<<	0
aid	e-d	1<<	0
air	@-r	1<<	0
alga	@lgx	1<>0	0
all	cl-	1<<	0
allegory	@l-xgori	1<>0>2<0	0
allegro	xl-Egro	0<>1<>0	0
allergen	@l--RJxn	1<>0<>0<	0
allergic	xl--RJIk	0<>1<>0<	0
almost	clmost	1<>2<<	0
alone	xlon-	0>1<<	0
along	xlcG-	0>1<<	0
already	clrE-di	0<>1<<0	0
also	clso	1<>0	0
alternation	clt-RneS-xn	2<>0<>1>0<<	0
altimeter	@ltImxt-R	0<>1<0<0<	0
always	clwe-z	1<>0<<	0
am	@m	0<	0
ambitious	@mbIS-x-s	0<>1<0<<<	0
ambrosia	@mbroZix	0<>>1>00	0
amen	emEn	1>1<	0
american	xmErxkxn	0>1<0>0<	0
among	xm^G-	0>1<<	0
amount	xmW-nt	0>1<<<	0
amputate	@mpYtet-	1<>0>2<<	0
an	@n	0<	0
analog	@n-Lcg	1<0<2<	0
analysis	xn@lxsxs	0>1<0>0<	0
and	@nd	0<<	0
animal	@nxm-L	1<0>0<	0
annual	@n-Yxl	1<>00<	0
anode	@nod-	1<2<<	0
anomaly	xnamxli	0>1<0>0	0
another	xnxD--R	0>1<<0<	0
answer	@ns--R	1<>>0<	0
anticipate	@ntIsxpet-	0<>1<0>2<<	0
antipasto	@ntIp@sto	2<<0>1<>0	0
antrum	@ntrxm	1<>>0<	0
any	Eni	1<0	0
anyone	Eniwn-	1<02<<	0
apart	xpart	0>1<<	0
apartment	xpartmxnt	0>1<<>0<<	0
appear	xp-I-r	0<>1<<	0
applause	xp-lc-z-	0<>>1<<<	0
applied	xp-lA-d	0<>>1<<	0
approach	xp-ro-C-	0<>>1<<<	0
appurtenance	xp--Rt-Nxns-	0<>1<<0<0<<<	0
apt	@pt	1<<	0
are	ar-	0<<	0
area	@rix	1<00	0
argumentation	argYmxnteS-xn	2<>0>0<>1>0<<	0
arithmetic	xrIT-mxtIk	0>1<>>0>2<	0
arm	arm	1<<	0
armlet	armlxt	1<<>0<	0
army	armi	1<>0	0
aromatic	@rxm@tIk	2<0>1<0<	0
around	xrW-nd	0>1<<<	0
art	art	1<<	0
artery	artxri	1<<0>0	0
artificer	artIfxs-R	0<>1<0>0<	0
as	@z	1<	0
as	xz	0<	0
ask	@sk	1<<	0
aspen	@spxn	1<>0<	0
assiduously	xs-IJYx-sli	0<>1<00<<>0	0
assist	xs-Ist	0<>1<<	0
association	xs-oSieS-xn	0<>2>01>0<<	0
asthmatic	@z--m@tIk	0<>>>1<0<	1
astringent	xstrInJxnt	0>>>1<>0<<	0
at	@t	1<	0
at	xt	0<	0
atilt	xtIlt	0>1<<	0
atmosphere	@tmxsf-Ir-	1<>0>>>2<<	0
atmospheric	@tmxsf-IrIk	2<>0>>>1<0<	0
atomic	xtamIk	0>1<0<	0
attack	xt-@k-	0<>1<<	0
attar	@t--R	1<>0<	0
attempt	xt-Empt	0<>1<<<	0
attention	xt-EnC-xn	0<>1<>0<<	0
attenuation	xt-EnYeS-xn	0<>2<01>0<<	0
attire	xt-Ar-	0<>1<<	0
attitude	@t-xtYd-	1<>0>2<<	0
attributive	xt-rIbYtIv-	0<>>1<0<0<<	0
audience	c-dixns-	1<<00<<<	0
audiovisual	c-diovIZYxl	2<<00>1<00<	0
authoritarian	x-T-crxtErixn	0>>>2<0>1<00<	0
authority	x-T-crxti	0>>>1<0<0	0
available	xve-lxbL-	0>1>>0>>0	0
avenge	xvEnJ-	0>1<<<	0
avenue	@vxnY-	1<0>0<	0
average	@vxrIJ-	1<0>0<<	0
aviary	eviEri	1>02<0	0
avow	xvW-	0>1<	0
aware	xw@r-	0>1<<	0
awol	ewcl	1>2<	0
azimuth	@zxmxT-	1<0>0<<	0
azure	@Z-R-	1<0<<	0
back	b@k-	>1<<	0
bacon	bekxn	>1>0<	0
bad	b@d	>1<	0
bake	bek-	>1<<	0
balance	b@lxns-	>1<0<<<	0
ball	bcl-	>1<<	0
banderol	b@ndxrol	>1<>0>2<	0
bank	b@Gk	>1<<	0
bantling	b@ntlIG-	>1<<>0<<	0
bar	bar	>1<	0
barbed	barb-d	>1<<<<	0
baroque	bxrok--	>0>1<<<	0
barrister	b@r-xst-R	>1<>0>>0<	0
base	bes-	>1<<	0
basic	besIk	>1>0<	0
basis	besxs	>1>0<	0
basket	b@skxt	>1<>0<	0
bassoon	b@s-u-n	>0<>1<<	0
batteau	b@t-o--	>0<>1<<	0
battle	b@t-L-	>1<>>0	0
be	bi	>1	0
beautiful	bY--tIf^l	>1<<<0>0<	0
because	bIkc-z-	>0>1<<<	0
beck	bEk-	>1<<	0
become	bIk^m-	>0>1<<	0
bed	bEd	>1<	0
beef	bi-f	>1<<	0
been	bI-n	>1<<	0
before	bIfor-	>0>1<<	0
befuddle	bIfxd-L-	>0>1<>>0	0
begin	bIgIn	>0>1<	0
behave	bIhev-	>0>1<<	0
behavior	bIhevy-R	>0>1<0<<	0
being	biIG-	>10<<	0
believe	bxli-v-	>0>1<<<	0
besiege	bIsi-J-	>0>1<<<	0
best	bEst	>1<<	0
better	bEt--R	>1<>0<	0
between	bItwi-n	>0>>1<<	0
beyond	bi-and	>0>1<<	0
big	bIg	>1<	0
bilateral	bAl@txr-L	>0>1<0>0<	0
bill	bIl-	>1<<	0
bipartisan	bApartxzxn	>0>1<<0>0<	0
bird	b-Rd	>1<<	0
bit	bIt	>1<	0
bitch	bI-C-	>1<<<	0
bitter	bIt--R	>1<>0<	0
black	bl@k-	>>1<<	0
bladder	bl@d--R	>>1<>0<	0
bland	bl@nd	>>1<<	0
blind	blAnd	>>1<<	0
blintze	blIntsx	>>1<<>0	0
blood	bl^-d	>>1<<	0
blue	blu-	>>1<	0
board	bo-rd	>1<<<	0
boatswain	bo--s---N	>1<<<>0<<	1
bobolink	babxlIGk	>1<0>2<<	0
boccie	baC-i-	>1<>0<	2
body	badi	>1<0	0
bombardier	bamb-RdI-r	>2<>0<>1<<	0
bombazine	bambxzin-	>2<>0>1<<	0
book	bU-k	>1<<	0
border	bcrd-R	>1<<0<	0
born	bcrn	>1<<	0
boron	boran	>1<2<	0
both	boT-	>1<<	0
bottom	bat-xm	>1<>0<	0
boy	bO-	>1<	0
bra	bra	>>1	0
braise	bre-z-	>>1<<<	0
bravura	brxvUrx	>>0>1<0	0
breach	bri-C-	>>1<<<	0
breadwinner	brE-dwIn--R	>>1<<>2<<0<	0
break	bre-k	>>1<<	0
breast	brE-st	>>1<<<	0
brethren	brED-rxn	>>1<<00<	0
bridge	brI-J-	>>1<<<	0
bright	brA--t	>>1<<<	0
bring	brIG-	>>1<<	0
british	brItIS-	>>1<0<<	0
broad	brc-d	>>1<<	0
brother	br^D--R	>>1<<0<	0
brought	brc---t	>>1<<<<	0
brown	brW-n	>>1<<	0
bud	b^d	>1<	0
buddy	b^d-i	>1<>0	0
bug	b^g	>1<	0
bugbear	b^gbE-r	>1<>2<<	0
build	b-Ild	>1<<<	0
built	b-Ilt	>1<<<	0
bum	b^m	>1<	0
bushel	bUS--L	>1<<0<	0
busily	bIzxli	>1<0>0	0
business	bIz-nxs-	>1<>>0<<	1
buss	b^s-	>1<<	0
but	b^t	>2<	0
butcher	bU-C--R	>1<>>0<	0
butler	b^tl-R	>1<>0<	0
by	bA	>1	0
bypass	bAp@s-	>1>2<<	0
cabinet	k@bxnxt	>1<0>0<	0
cadet	kxdEt	>0>1<	0
caduceus	kxdYsixs	>0>1>00<	0
cage	keJ-	>1<<	0
calcium	k@lsixm	>1<>00<	0
calibration	k@lxbreS-xn	>2<0>>1>0<<	0
call	kcl-	>1<<	0
came	kem-	>1<<	0
campaign	k@mpe--n	>0<>1<<<	0
camporee	k@mpxri-	>2<>0>1<	0
can	k@n	>1<	0
can	kxn	>0<	0
cane	ken-	>1<<	0
cannot	k@n-at	>1<>2<	0
canoe	kxnu-	>0>1<	0
canonize	k@nxnAz-	>1<0>2<<	0
capacitate	kxp@sxtet-	>0>1<0>2<<	0
capacity	kxp@sxti	>0>1<0<0	0
caparison	kxp@rxsxn	>0>1<0>0<	0
capital	k@pxt-L	>1<0<0<	0
captain	k@ptx-n	>1<>0<<	0
caption	k@pS-xn	>1<>0<<	0
capuchin	k@pYS-xn	>1<0>>0<	0
car	kar	>1<	0
carafe	kxr@f-	>0>1<<	0
carboy	karbO-	>1<>2<	0
care	kEr-	>1<<	0
carnivorous	karnIvxrx-s	>0<>1<0>0<<	0
carom	k@rxm	>1<0<	0
carousal	kxrW-z-L	>0>1>>0<	0
carrot	k@r-xt	>1<>0<	0
carry	k@r-i	>1<>0	0
cascade	k@sked-	>0<>1<<	0
case	kes-	>1<<	0
casket	k@skxt	>1<>0<	0
castanets	k@stxnEts	>2<>0>1<<	0
catchy	k@-C-i	>1<<<0	0
catholic	k@T-xlIk	>1<<0>0<	0
catholicism	kxT-alxsIzM	>0>>1<0>2<0	0
cattle	k@t-L-	>1<>>0	0
caught	kc---t	>1<<<<	0
cause	kc-z-	>1<<<	0
causeway	kc-z-we-	>1<<>>2<	0
cavern	k@v-Rn	>1<0<<	0
cavy	kevi	>1>0	0
cay	ke-	>1<	0
cellophane	sEl-xf-en-	>1<>0>>2<<	0
cellulosic	sEl-YlosIk	>2<>0>1>0<	0
cent	sEnt	>1<<	0
center	sEnt-R	>1<<0<	0
centimeter	sEntxmit-R	>1<<0>2<0<	0
centimo	sEntxmo	>1<<0>2	0
central	sEntr-L	>1<>>0<	0
centurion	sEntyrixn	>0<>1<00<	0
century	sEnCxri	>1<<0>0	0
certain	s-Rt--N	>1<<0<<	0
chagrin	S-xgrIn	>>0>>1<	0
chalcedony	k-@lsEd-Ni	>>0<>1<0<0	0
chance	C-@ns-	>>1<<<	0
chancellor	C-@nsxl--R	>>1<>0<>0<	0
change	C-enJ-	>>1<<<	0
character	k-@rIkt-R	>>1<0<>0<	0
characteristic	k-@rIktxrIstIk	>>2<0<>0>1<>0<	0
characterize	k-@rIktxrAz-	>>1<0<>0>2<<	0
charge	C-arJ-	>>1<<<	0
charwoman	C-arwUmxn	>>1<>2<0<	0
check	C-Ek-	>>1<<	0
