abacus	@bxkxs	1<0>0<	0
abandon	xb@ndxn	0>1<>0<	0
abash	xb@S-	0>1<<	0
abate	xbet-	0>1<<	0
abatis	@bxti-	1<0>2<	2
abbacy	@b-xsi	1<>0>0	0
abbe	@b-e	0<>1	0
abbess	@b-xs-	1<>0<<	0
abdication	@bdIkeS-xn	2<>0>1>0<<	0
abdomen	@bdxmxn	1<>0>0<	0
abed	xbEd	0>1<	0
aberration	@bxr-eS-xn	2<0<>1>0<<	0
abet	xbEt	0>1<	0
abide	xbAd-	0>1<<	0
abjuration	@bJxreS-xn	2<>0>1>0<<	0
ablate	@blet-	0>>1<<	0
ablative	@blxtxv-	1<>0<0<<	0
abloom	xblu-m	0>>1<<	0
abnegation	@bnIgeS-xn	2<>0>1>0<<	0
abominable	xbamxnxbL-	0>1<0>0>>0	0
abominate	xbamxnet-	0>1<0>2<<	0
aborning	xbcrnIG-	0>1<>0<<	0
abortion	xbcrS-xn	0>1<>0<<	0
abound	xbW-nd	0>1<<<	0
abrasive	xbresIv-	0>>1>0<<	0
abrogate	@brxget-	1<>0>2<<	0
abrupt	xbr^pt	0>>1<<	0
abscess	@bs-Es-	0>>>1<<	0
absent	@bsEnt	0<>1<<	0
absentee	@bsxnti-	2<>0<>1<	0
absentminded	@bsxntmAndxd	2<>0<<>1<>0<	0
absinthe	@bsInT--	1<>2<<<<	0
absolutely	@bsxlut-li	1<>0>2<>>0	0
absorb	xbscrb	0<>1<<	0
abstain	xbste-n	0<>>1<<	0
abstract	@bstr@kt	1<>>>2<<	0
abstract	@bstr@kt	0<>>>1<<	0
abstraction	@bstr@kS-xn	0<>>>1<>0<<	0
absurd	xbs-Rd	0<>1<<	0
abuse	xbYz-	0>1<<	0
abut	xb^t	0>1<	0
abysmal	xbIzm-L	0>1<>0<	0
academician	@kxdxmIS-xn	2<0<0>1<0<<	0
academy	xk@dxmi	0>1<0>0	0
acanthus	xk@nT-xs	0>1<>>0<	0
accelerando	aC-Elxrando	0<>2<0>1<>0	2
accept	IksEpt	0<>1<<	0
acceptance	IksEptxns-	0<>1<>0<<<	0
acceptation	@ksEpteS-xn	2<>2<>1>0<<	0
access	@ksxs-	1<>2<<	0
accessory	IksEs-xri	0<>1<>0>0	0
accidence	@ksxdxns-	1<>0<0<<<	0
acclamation	@k-lxmeS-xn	2<>>0>1>0<<	0
accomplice	xk-amplxs-	0<>1<>>0<<	0
accordance	xk-crd-Ns-	0<>1<<0<<<	0
accordion	xk-crdixn	0<>1<<00<	0
