grazier	greZ--R	>>1>0<<	0
execrate	EXxkret-	1<0>>2<<	0
aunt	@-nt	1<<<	1
panegyric	p@nxJIrIk	>2<0>1<0<	0
marry	m@r-i	>1<>0	0
zonation	zoneS-xn	>0>1>0<<	0
bedevil	bIdEv-L	>0>1<0<	0
approximate	xp-raXxmxt-	0<>>1<0>0<<	0
sagitarius	s@JxtErixs	>2<0>1<00<	0
religious	rIlIJ-x-s	>0>1<0<<<	0
despair	dIsp@-r	>0>>1<<	0
tatting	t@t-IG-	>1<>0<<	0
berserk	b-Rs-Rk	>0<>1<<	0
flirtation	fl-RteS-xn	>>2<>1>0<<	0
inferior	InfIri-R	0<>1<00<	0
mountebank	mW-ntIb@Gk	>1<<<0>2<<	0
whensoever	*-EnsuEv-R	>>1<>02<0<	0
starfish	starfIS-	>>1<>2<<	0
gallstone	gcl-ston-	>1<>>>2<<	0
brawn	brc-n	>>1<<	0
vier	vA-R	>10<	0
rectory	rEktxri	>1<>0>0	0
misapply	mIsxp-lA	>2<0<>>1	0
frown	frW-n	>>1<<	0
statistician	st@txstIS-xn	>>2<0>>1<0<<	0
subway	s^bwe-	>1<>2<	0
adipose	@dxpos-	1<0>2<<	0
factual	f@kCYxl	>1<>00<	0
navy	nevi	>1>0	0
literalistic	lItxrxlIstIk	>2<0>0>1<>0<	0
heretofore	hIr-txfor-	>1<<<0>2<<	0
chaunt	C-c-nt	>>1<<<	0
sextet	sEXtEt	>0<>1<	0
jolt	Jolt	>1<<	0
jinx	JIGX	>1<<	0
reap	ri-p	>1<<	0
paternity	pxt-Rnxti	>0>1<>0<0	0
desuetude	dEswItYd-	>1<0<>2<<	0
landfall	l@ndfcl-	>1<<>2<<	0
strain	stre-n	>>>1<<	0
musculature	mxskYlxCUr-	>1<>0>0>2<<	0
excel	IX-El	0<<1<	0
syllabify	sxl-@bxfA	>0<>1<0>2	0
minx	mIGX	>1<<	0
artefact	artxf@kt	1<<0>2<<	0
deprecate	dEprIket-	>1<>0>2<<	0
twelve	twElv-	>>1<<<	0
rollick	ral-Ik-	>1<>0<<	0
nickname	nIk-nem-	>1<>>2<<	0
imaginable	Im@JxnxbL-	0<1<0>0>>0	0
throng	T-rcG-	>>>1<<	0
thought	T-c---t	>>1<<<<	0
bongo	baGgo	>1<>0	0
premed	primEd	>>1>1<	0
hoist	hO-st	>1<<<	0
captivate	k@ptxvet-	>1<>0>2<<	0
applicability	@p-lIkxbIlxti	2<>>0>0>1<0<0	0
avow	xvW-	0>1<	0
stirrup	st-R-xp	>>1<>0<	0
scarcely	skErs-li	>>1<<>>0	0
nautch	nc--C-	>1<<<<	0
commemorate	kxm-Emxret-	>0<>1<0>2<<	0
geometric	JixmEtrIk	>20>1<>0<	0
exemplify	I#EmplxfA	0<1<>>0>2	0
niggling	nIg-lIG-	>1<>00<<	0
tenderfoot	tEnd-RfU-t	>1<>0<>2<<	0
auditor	c-dxt-R	1<<0<0<	0
mute	mYt-	>1<<	0
bronchitis	brank-Atxs	>>0<>>1<0<	0
elves	Elv-z	1<<<<	0
dressage	drxs-aZ-	>>0<>1<<	0
cogwheel	kag*-i-l	>1<>>2<<	0
genitive	JEnxtIv-	>1<0<0<<	0
slough	sl^-f-	>>1<<<	0
mizen	mIz-N	>1<0<	0
embody	Imbadi	0<>1<0	0
torque	tcrk--	>1<<<<	0
sachem	seC-xm	>1>>0<	0
placebo	plxsibo	>>0>1>0	0
barbed	barb-d	>1<<<<	0
tepid	tEpxd	>1<0<	0
conspiracy	kxnspIrxsi	>0<>>1<0>0	0
elf	Elf	1<<	0
mew	mY-	>1<	0
us	^s	2<	0
where	*-Er-	>>1<<	0
folly	fal-i	>1<>0	0
housecoat	hW-s-ko-t	>1<<>>2<<	0
hoary	ho-ri	>1<<0	0
landed	l@ndxd	>1<>0<	0
arrogant	@r-xgxnt	1<>0>0<<	0
quite	kwAt-	>1<<<	0
cutting	k^t-IG-	>1<>0<<	0
sympathetic	sImpxT-EtIk	>2<>0>>1<0<	0
rebate	ribet-	>1>2<<	0
reamer	ri-m-R	>1>>0<	0
inventive	InvEntIv-	0<>1<<0<<	0
borough	b-Ro---	>1<0<<<	0
sacrosanct	s@kros@Gkt	>1<>0>2<<<	0
proceeds	prosi-dz	>>1>2<<<	0
delete	dIlit-	>0>1<<	0
zinc	zIGk	>1<<	0
throw	T-ro-	>>>1<	0
symposium	sImpozixm	>0<>1>00<	0
weatherworn	wE-D--Rworn	>1<<<0<>2<<	0
infirm	Inf-Rm	0<>1<<	0
prudent	prud-Nt	>>1<0<<	0
scrim	skrIm	>>>1<	0
torsion	tcrS-xn	>1<>0<<	0
ecologist	IkalxJxst	0>1<0>0<<	0
bramble	br@mbL-	>>1<>>0	0
toleration	talxreS-xn	>2<0>1>0<<	0
limbeck	lImbEk-	>1<>2<<	0
embroider	ImbrO-d-R	0<>>1<<0<	0
correlation	kcr-xleS-xn	>2<>0>1>0<<	0
concatenation	kank@txneS-xn	>2<>2<0>1>0<<	0
wort	w-Rt	>1<<	0
campstool	k@mpstu-l	>1<<>>2<<	0
mavis	mevxs	>1>0<	0
occupancy	ak-Ypxnsi	1<>0>0<>0	0
panicle	p@nIkL-	>1<0>>0	0
ecstasy	Ekstxsi	1<>>0>0	0
female	fimel-	>1>2<<	0
impromptu	ImpramptY	0<>>1<<>0	0
soot	sU-t	>1<<	0
chump	C-^mp	>>1<<	0
sepia	sipix	>1>00	0
crude	krud-	>>1<<	0
mayapple	me-@p-L-	>1<2<>>0	0
upperclassman	xp--Rkl@s-mxn	2<>0<>>1<<>0<	0
obviation	abvieS-xn	2<>01>0<<	0
ferrule	fEr-^l-	>1<>0<<	0
vail	ve-l	>1<<	0
tomorrow	txmar-o-	>0>1<>0<	0
tucker	t^k--R	>1<<0<	0
informal	Infcrm-L	1<>1<>0<	0
idly	Adli	1<>0	0
diminish	dxmInIS-	>0>1<0<<	0
taxation	t@XeS-xn	>0<1>0<<	0
sty	stA	>>1	0
mystic	mIstIk	>1<>0<	0
chip	C-Ip	>>1<	0
thyme	t-Am-	>>1<<	0
tent	tEnt	>1<<	0
cob	kab	>1<	0
advise	xdvAz-	0<>1<<	0
barracuda	b@r-xkudx	>2<>0>1<0	0
tear	tI-r	>1<<	0
kidskin	kIdskIn	>1<>>2<	0
habitual	hxbICYxl	>0>1<00<	0
decipher	dIsAf--R	>0>1>>0<	0
femur	fim-R	>1>0<	0
decorous	dEkxrx-s	>1<0>0<<	0
concrete	kankrit-	>1<>>2<<	0
gelatin	gElxt-N	>1<0<0<	0
prefab	prif@b	>>1>1<	0
vietnamese	viEtnxmiz-	>02<>0>1<<	0
procession	prxsES--xn	>>0>1<>0<<	0
causally	kc-zxl-i	>1>>0>>0	0
scorpion	skcrpixn	>>1<>00<	0
clothing	kloD-IG-	>>1>>0<<	0
donation	doneS-xn	>0>1>0<<	0
dictatorial	dIktxtori-L	>2<>0>1<00<	0
probate	probet-	>>1>2<<	0
jail	Je-l	>1<<	0
pious	pAx-s	>10<<	0
stunt	st^nt	>>1<<	0
selvedge	sElvI-J-	>1<>0<<<	0
wallow	wal-o-	>1<>0<	0
shrove	S-rov-	>>>1<<	0
dehumidify	dihYmIdxfA	>2>0>1<0>2	0
singularly	sIGgYl-Rli	>1<>0>0<>0	0
raw	rc-	>1<	0
lease	li-s-	>1<<<	0
paterfamilias	pet-RfxmIlixs	>2<0<>0>1<00<	0
organization	crgxnxzeS-xn	2<>0>0>1>0<<	0
jazz	J@z-	>1<<	0
punk	p^Gk	>1<<	0
recommend	rEkxm-End	>2<0<>1<<	0
impecunious	ImpIkYnyx-s	2<>0>1>0<<<	0
urge	-RJ-	1<<<	0
cote	kot-	>1<<	0
pence	pEns-	>1<<<	0
prophetic	prxf-EtIk	>>0>>1<0<	0
alike	xlAk-	0>1<<	0
fold	fold	>1<<	0
platypus	pl@tIpxs	>>1<0>0<	0
antiquary	@ntxkwEri	1<<0>2<<0	0
sucre	sukre	>1>>0	0
boatman	bo-tmxn	>1<<>0<	0
extrude	IXtrud-	0<>>1<<	0
debilitate	dIbIlxtet-	>0>1<0>2<<	0
classified	kl@s-xfA-d	>>1<>0>2<<	0
demimondaine	dEmimande-n-	>2<0>2<>1<<<	0
tout	tW-t	>1<<	0
newness	nY-nxs-	>1<>0<<	0
contraction	kxntr@kS-xn	>0<>>1<>0<<	0
utility	YtIlxti	0>1<0<0	0
citrus	sItrxs	>1<>0<	0
