abide	xbAd-	0>1<<	0
aboriginal	@bxrIJxn-L	2<0>1<0>0<	0
academy	xk@dxmi	0>1<0>0	0
acclaim	xk-le-m	0<>>1<<	0
accommodation	xk-am-xdeS-xn	0<>2<>0>1>0<<	0
accuracy	@k-yrxsi	1<>0>0>0	0
accustom	xk-xstxm	0<>1<>0<	0
acetate	@sxtet-	1<0>2<<	0
acquisition	@k-wIzIS-xn	2<>0<>1<0<<	0
acrid	@krxd	1<>0<	0
acropolis	xkrapxlxs	0>>1<0>0<	0
adapt	xd@pt	0>1<<	0
adjuration	@-JxreS-xn	2<<0>1>0<<	0
admittance	xdmIt--Ns-	0<>1<>0<<<	0
admix	@dmIX	0<>1<	0
adroit	xdrO-t	0>>1<<	0
adumbrate	@dxmbret-	1<0<>>2<<	0
adverb	@dv-Rb	1<>2<<	0
advertising	@dv-RtAzIG-	1<>0<>2>0<<	0
aerosol	E-rxscl	1<<0>2<	0
aesthetic	E-sT-EtIk	0<<>>1<0<	0
affront	xf-r^nt	0<>>1<<	0
afield	xfi-ld	0>1<<<	0
aflutter	xfl^t--R	0>>1<>0<	0
aggregate	@g-rIgxt-	1<>>0>0<<	0
agonize	@gxnAz-	1<0>2<<	0
ailment	e-lmxnt	1<<>0<<	0
alarm	xlarm	0>1<<	0
alexandrian	@lI#@ndrixn	2<0<1<>>00<	0
algebraic	@lJxbreIk	2<>0>>10<	0
allah	@l-x-	1<>0<	0
alleviate	xl-iviet-	0<>1>02<<	0
almanac	clmxn@k	1<>0>2<	0
alternation	clt-RneS-xn	2<>0<>1>0<<	0
am	@m	0<	0
ambivalence	@mbIvxlxns-	0<>1<0>0<<<	0
americium	@mxrISixm	2<0>1<00<	0
amicable	@mIkxbL-	1<0>0>>0	0
amontillado	xmantxl-ado	0>2<>0<>1<0	0
amputate	@mpYtet-	1<>0>2<<	0
anapest	@nxpEst	1<0>2<<	0
ancient	enS-xnt	1<>0<<<	0
ankh	@Gk-	1<<<	0
anniversary	@n-xv-Rsxri	2<>0>1<<0>0	0
annotation	@n-xteS-xn	2<>0>1>0<<	0
annotator	@n-xtet-R	1<>0>2<0<	0
antediluvian	@ntIdxluvixn	2<<0>0>1>00<	0
anterior	@ntIri-R	0<>1<00<	0
apathetic	@pxT-EtIk	2<0>>1<0<	0
aphides	ef-xdiz	1>>0>2<	0
apologize	xpalxJAz-	0>1<0>2<<	0
apostasy	xpastxsi	0>1<>0>0	0
apostate	xpastet-	0>1<>2<<	0
appetite	@p-xtAt-	1<>0>2<<	0
appraise	xp-re-z-	0<>>1<<<	0
apprehensive	@p-rIhEnsIv-	2<>>0>1<>0<<	0
aptitude	@ptxtYd-	1<>0>2<<	0
archaeology	ark--ialxJi	2<>>>01<0>0	0
architectural	ark-xtEkCxr-L	2<>>0>1<>0>0<	0
armadillo	armxdIl-o	2<>0>1<>0	0
armorial	armori-L	0<>1<00<	0
arrant	@r-xnt	1<>0<<	0
arsenious	arsinix-s	0<>1>00<<	0
artifice	artxfxs-	1<<0>0<<	0
ashamed	xS-em-d	0>>1<<<	0
aspect	@spEkt	1<>2<<	0
aspic	@spIk	1<>0<	0
assemble	xs-EmbL-	0<>1<>>0	0
assent	xs-Ent	0<>1<<	0
ate	et-	1<<	0
atheistic	eT-iIstIk	2>>01<>0<	0
attempt	xt-Empt	0<>1<<<	0
attribute	xt-rIbYt-	0<>>1<0<<	0
authenticate	x-T-EntIket-	0>>>1<<0>2<<	0
automobile	c-txmobil-	2<<0>0>1<<	0
average	@vxrIJ-	1<0>0<<	0
awhile	x*-Al-	0>>1<<	0
baboon	b@bu-n	>0>1<<	0
ballad	b@l-xd	>1<>0<	0
ballyhoo	b@l-ihu-	>1<>0>2<	0
balm	ba-m	>1<<	0
bannock	b@n-xk-	>1<>0<<	0
baptism	b@ptIzM	>1<>2<0	0
barbiturate	barbICxrxt-	>0<>1<0>0<<	0
baroness	b@rxnxs-	>1<0>0<<	0
barracks	b@r-xk-s	>1<>0<<<	0
basilica	bxsIlIkx	>0>1<0>0	0
beast	bi-st	>1<<<	0
beehive	bi-hAv-	>1>>2<<	0
befall	bIfcl-	>0>1<<	0
begonia	bIgonyx	>0>1<0<	0
belladonna	bEl-xdan-x	>2<>0>1<>0	0
belle	bEl--	>1<<<	0
beneficence	bxnEfxsxns-	>0>1<0>0<<<	0
benumb	bIn^m-	>0>1<<	0
berceuse	bErsx-z-	>0<>1<<<	2
berg	b-Rg	>1<<	0
besmirch	bIsm-RC-	>>>>1<<<	0
bet	bEt	>1<	0
bethel	bET--L	>1<<0<	0
bevy	bEvi	>1<0	0
bibelot	bIbxlo-	>2<0>1<	2
bible	bAbL-	>1>>0	0
bicycle	bAsIkL-	>1>2<>0	0
bigwig	bIgwIg	>1<>2<	0
bilk	bIlk	>1<<	0
binary	bAnxri	>1>0>0	0
biology	bAalxJi	>01<0>0	0
biopsy	bAapsi	>12<>0	0
bison	bAs-N	>1<0<	0
bitters	bIt--Rz	>1<>0<<	0
blacken	bl@k-xn	>>1<<0<	0
blancmange	blx--manJ-	>>0>>>1<<<	2
blank	bl@Gk	>>1<<	0
blizzard	blIz--Rd	>>1<>0<<	0
block	blak-	>>1<<	0
blur	bl-R	>>1<	0
boar	bo-r	>1<<	0
bobwhite	bab*-At-	>1<>>1<<	0
boil	bO-l	>1<<	0
bonus	bonxs	>1>0<	0
boomerang	bu-mxr@G-	>1>>0>2<<	0
boot	bu-t	>1<<	0
brag	br@g	>>1<	0
brand	br@nd	>>1<<	0
brass	br@s-	>>1<<	0
brat	br@t	>>1<	0
bridle	brAdL-	>>1<>0	0
brother	br^D--R	>>1<<0<	0
buckler	b^k-l-R	>1<>>0<	0
bulbul	bUlbUl	>1<>2<	0
bulkhead	b^lkhE-d	>1<<>2<<	0
bullion	bUl-yxn	>1<>0<<	0
bunion	b^nyxn	>1<0<<	0
bunk	b^Gk	>1<<	0
bunko	b^Gko	>1<>0	0
burgess	b-RJxs-	>1<>0<<	0
burglary	b-Rglxri	>1<>>0>0	0
burlesque	b-RlEsk--	>2<>1<<<<	0
burp	b-Rp	>1<<	0
bury	bEri	>1<0	0
buskin	b^skxn	>1<>0<	0
byelaw	bA-lc-	>1>>2<	0
cabin	k@bxn	>1<0<	0
cabstand	k@bst@nd	>1<>>2<<	0
calculus	k@lkYlxs	>1<>0>0<	0
calumniate	k@l^mniet-	>0>1<>02<<	0
camshaft	k@mS-@ft	>1<>>2<<	0
cancel	k@ns-L	>1<>0<	0
canker	k@Gk-R	>1<>0<	0
canny	k@n-i	>1<>0	0
canonical	kxnanIk-L	>0>1<0>0<	0
cantle	k@ntL-	>1<<<0	0
cantonment	k@ntonmxnt	>0<>1<>0<<	0
capitalism	k@pxt-LIzM	>1<0<0<2<0	0
capitol	k@pxt-L	>1<0<0<	0
capsize	k@psAz-	>1<>2<<	0
carbine	karbAn-	>1<>2<<	0
carom	k@rxm	>1<0<	0
cartography	kartagrxf-i	>0<>1<>0>>0	0
cascara	k@sk@rx	>0<>1<0	0
casserole	k@s-xrol-	>1<>0>2<<	0
cat	k@t	>1<	0
catalpa	k@t@lpx	>0>1<>0	0
cathartic	kxT-artIk	>0>>1<<0<	0
cauliflower	kc-lIflW--R	>1>>0>>2<0<	0
celebrated	sElxbretxd	>1<0>>2<0<	0
cent	sEnt	>1<<	0
centavo	sEntavo	>0<>1<0	0
centre	sEntR-	>1<<>0	0
certification	s-RtxfxkeS-xn	>2<<0>0>1>0<<	0
chaffer	C-@f--R	>>1<>0<	0
cham	k-@m	>>1<	0
chap	C-@p	>>1<	0
chapfallen	C-@pfcl-xn	>>1<>2<>0<	0
charioteer	C-@rixtI-r	>>2<00>1<<	0
charlatan	S-arlxtxn	>>1<>0>0<	0
chaser	C-es-R	>>1>0<	0
chaste	C-est-	>>1<<<	0
chatterbox	C-@t--RbaX	>>1<>0<>2<	0
chess	C-Es-	>>1<<	0
chestnut	C-Es-nxt	>>1<>>2<	0
chiding	C-AdIG-	>>1<0<<	0
child	C-Ald	>>1<<	0
chloroform	k-lorxfcrm	>>>1<0>2<<	0
choreography	k-oriagrxf-i	>>2<01<>0>>0	0
chub	C-^b	>>1<	0
circle	s-RkL-	>1<>>0	0
civil	sIv-L	>1<0<	0
clapboard	kl@-b--Rd	>>1<<0<<<	1
claptrap	kl@ptr@p	>>1<>>2<	0
clavichord	kl@vxk-crd	>>1<0>>2<<	0
clear	klI-r	>>1<<	0
clot	klat	>>1<	0
cloy	klO-	>>1<	0
coat	ko-t	>1<<	0
cobble	kab-L-	>1<>>0	0
cog	kag	>1<	0
cognate	kagnet-	>1<>2<<	0
coitus	koxtxs	>10<0<	0
coliseum	kalxsixm	>2<0>10<	0
collar	kal--R	>1<>0<	0
collide	kxl-Ad-	>0<>1<<	0
colon	kolxn	>1>0<	0
colossus	kxlas-xs	>0>1<>0<	0
common	kam-xn	>1<>0<	0
communism	kam-YnIzM	>1<>0>2<0	0
complete	kxmplit-	>0<>>1<<	0
complicate	kamplxket-	>1<>>0>2<<	0
complication	kamplxkeS-xn	>2<>>0>1>0<<	0
condiment	kandxmxnt	>1<>0>0<<	0
confidant	kanfxd@nt	>1<>0>2<<	0
confidential	kanfxdEnC--L	>2<>0>1<>0<<	0
confiscatory	kxnfIskxtori	>0<>1<>0>2<0	0
conform	kxnfcrm	>0<>1<<	0
confraternity	kanfrxt-Rnxti	>2<>>0>1<>0<0	0
congenital	kxnJEnxt-L	>0<>1<0<0<	0
conic	kanIk	>1<0<	0
conscription	kxnskrIpS-xn	>0<>>>1<>0<<	0
conserve	kxns-Rv-	>0<>1<<<	0
consternation	kanst-RneS-xn	>2<>>0<>1>0<<	0
consummate	kansxm-et-	>1<>0<>2<<	0
content	kxntEnt	>0<>1<<	0
contumacy	kxntYmxsi	>0<>1>0>0	0
cookery	kU-kxri	>1<<0>0	0
corpulence	kcrpYlxns-	>1<>0>0<<<	0
corsage	kcrsaZ-	>0<>1<<	0
coruscate	kcrxsket-	>1<0>>2<<	0
coterminal	kot-Rmxn-L	>0>1<>0<0<	0
countless	kW-ntlxs-	>1<<<<0<<	0
courageous	kx-reJx--s	>0>>1>0<<<	0
cousin	kx-z-N	>1<<0<	0
crab	kr@b	>>1<	0
crack	kr@k-	>>1<<	0
creel	kri-l	>>1<<	0
cremation	krImeS-xn	>>0>1>0<<	0
crevice	krEvxs-	>>1<0<<	0
crinkle	krIGkL-	>>1<>>0	0
crisis	krAsxs	>>1>0<	0
crouch	krW-C-	>>1<<<	0
crumple	kr^mpL-	>>1<>>0	0
cuddle	k^d-L-	>1<>>0	0
cuff	k^f-	>1<<	0
cuneiform	kYnixfcrm	>0>10>2<<	0
cupboard	kx-b--Rd	>1<<0<<<	1
cupcake	k^pkek-	>1<>2<<	0
custard	k^st-Rd	>1<>0<<	0
cyclometer	sAklamxt-R	>0>>1<0<0<	0
daguerreotype	dxg-Er-ixtAp-	>0>1<<>00>2<<	0
danger	denJ-R	>1<>0<	0
dare	d@r-	>1<<	0
dearth	d--RT-	>1<<<<	0
debase	dIbes-	>0>1<<	0
deficient	dIfISx-nt	>0>1<0<<<	0
deformation	difcrmeS-xn	>2>2<>1>0<<	0
demerit	dimErxt	>0>1<0<	0
demesne	dIme-n-	>0>1<<<	1
denature	dineC-R-	>0>1>0<<	0
deportment	dIportmxnt	>0>1<<>0<<	0
deprive	dIprAv-	>0>>1<<	0
derby	d-Rbi	>1<>0	0
despise	dIspAz-	>0>>1<<	0
detest	dItEst	>0>1<<	0
detour	ditU-r	>1>2<<	0
devitalize	divAt-LAz-	>0>1<0<2<<	0
dictator	dIktet-R	>1<>2<0<	0
diminution	dImxnYS-xn	>2<0>1>0<<	0
din	dIn	>1<	0
dint	dInt	>1<<	0
dip	dIp	>1<	0
disc	dIsk	>1<<	0
discontinuity	dIskant-NYxti	>0<>2<<0<10<0	0
discordant	dIskcrd-Nt	>0<>1<<0<<	0
disgust	dIsg^st	>0<>1<<	0
disorder	dIscrd-R	>0<1<<0<	0
disparity	dIsp@rxti	>0<>1<0<0	0
dispensation	dIspxnseS-xn	>2<>0<>1>0<<	0
dispute	dIspYt-	>0<>1<<	0
disregard	dIsrIgard	>2<>0>1<<	0
dissatisfy	dIs-@txsfA	>0<>1<0<>2	0
dissent	dIs-Ent	>0<>1<<	0
divagation	dAvxgeS-xn	>2>0>1>0<<	0
divot	dIvxt	>1<0<	0
domineer	damxnI-r	>2<0>1<<	0
dona	donx	>1>0	0
dosage	dosIJ-	>1>0<<	0
dovetail	d^v-te-l	>1<>>2<<	0
dreamt	drE-mt	>>1<<<	0
droop	dru-p	>>1<<	0
duenna	dYEn-x	>01<>0	0
dwelled	dwEl--d	>>1<<<<	0
dwindle	dwIndL-	>>1<>>0	0
dye	dA-	>1<	0
eaglet	i-glxt	1>>>0<	0
eat	i-t	1<<	0
eaves	i-v-z	1<<<<	0
ecologic	EkxlaJIk	2<0>1<0<	0
education	EJxkeS-xn	2<0>1>0<<	0
effendi	xf-Endi	0<>1<>0	0
elevate	Elxvet-	1<0>2<<	0
ellipse	Il-Ips-	0<>1<<<	0
empty	Empti	1<<>0	0
entrepreneur	antrxprxn--R	2<>>0>>0>1<<	0
episcopate	IpIskxpxt-	0>1<>0>0<<	0
equitation	EkwxteS-xn	2<0<>1>0<<	0
erratum	Er-atxm	0<>1<0<	0
escape	Iskep-	0<>1<<	0
ethnology	ET-nalxJi	0<>>1<0>0	0
euthanasia	Y-T-xneZix	2>>>0>1>00	0
evince	IvIns-	0>1<<<	0
examine	I#@mxn-	0<1<0<<	0
excessive	IX-Es-Iv-	0<<1<>0<<	0
execrate	EXxkret-	1<0>>2<<	0
exert	I#-Rt	0<1<<	0
expiate	EXpiet-	1<>02<<	0
exposition	EXpxzIS-xn	2<>0>1<0<<	0
extravaganza	IXtr@vxg@nzx	0<>>2<0>1<>0	0
exudate	EXxdet-	1<0>2<<	0
facing	fesIG-	>1>0<<	0
fake	fek-	>1<<	0
familial	fxmIly-L	>0>1<0<<	0
farmland	farml@nd	>1<<>2<<	0
farsighted	farsA--txd	>1<>1<<<0<	0
fascism	f@S-IzM	>1<<2<0	0
feces	fisiz	>1>2<	0
fellahin	fEl-xhin	>2<>0>1<	0
fermentation	f-RmxnteS-xn	>2<>0<>1>0<<	0
festival	fEstxv-L	>1<>0>0<	0
fetch	fE-C-	>1<<<	0
fickle	fIk-L-	>1<<>0	0
fillet	fIl-xt	>1<>0<	0
finicky	fInIk-i	>1<0>>0	0
first	f-Rst	>1<<<	0
fixation	fIXeS-xn	>0<1>0<<	0
flagitious	flxJIS-x-s	>>0>1<0<<<	0
flake	flek-	>>1<<	0
flamboyant	fl@mbO-xnt	>>0<>10<<<	0
flat	fl@t	>>1<	0
flatboat	fl@tbo-t	>>1<>2<<	0
flue	flu-	>>1<	0
flung	fl^G-	>>1<<	0
fluster	fl^st-R	>>1<>0<	0
fomentation	fomxnteS-xn	>2>0<>1>0<<	0
fondu	fandY	>0<>1	0
foot	fU-t	>1<<	0
forked	fcrk-t	>0<<<<	0
formalize	fcrmxlAz-	>1<>0>2<<	0
forsooth	f-Rsu-T-	>0<>1<<<	0
fount	fW-nt	>1<<<	0
frankforter	fr@Gkf-Rt-R	>>1<<>0<<0<	0
freewill	fri-wIl-	>>1>>2<<	0
frequent	frikwEnt	>>0>1<<<	0
fresco	frEsko	>>1<>0	0
friar	frA-R	>>10<	0
frontier	fr^ntI-r	>>2<>1<<	0
frostbite	frcstbAt-	>>1<<>2<<	0
fuss	f^s-	>1<<	0
fuzz	f^z-	>1<<	0
gaiety	gex-ti	>10<<0	0
galactic	gxl@ktIk	>0>1<>0<	0
gallery	g@l-xri	>1<>0>0	0
gallivant	g@l-xv@nt	>1<>0>2<<	0
game	gem-	>1<<	0
garnet	garnxt	>1<>0<	0
garter	gart-R	>1<<0<	0
gasket	g@skxt	>1<>0<	0
gastric	g@strIk	>1<>>0<	0
gave	gev-	>1<<	0
gawky	gc-ki	>1>>0	0
gazebo	gxzebo	>0>1>0	0
gemstone	JEmston-	>1<>>2<<	0
general	JEnxr-L	>1<0>0<	0
generalissimo	JEnxrxlIs-xmo	>2<0>0>1<>0>2	0
gentes	JEntiz	>1<>2<	0
germinate	J-Rmxnet-	>1<>0>2<<	0
gestapo	gxstapo	>0>>1<0	0
giddy	gId-i	>1<>0	0
gigantic	JAg@ntIk	>0>1<<0<	0
glebe	glib-	>>1<<	0
glower	glW--R	>>1<0<	0
goatskin	go-tskIn	>1<<>>2<	0
goldfinch	goldfInC-	>1<<>2<<<	0
goodly	gU-dli	>1<<>0	0
gorge	gcrJ-	>1<<<	0
grail	gre-l	>>1<<	0
gratify	gr@txfA	>>1<0>2	0
greed	gri-d	>>1<<	0
gridiron	grIdAr-N	>>1<2>0<	0
grievance	gri-vxns-	>>1>>0<<<	0
grill	grIl-	>>1<<	0
groundsheet	grW-ndS-i-t	>>1<<<>>2<<	0
grudge	gr^-J-	>>1<<<	0
grunt	gr^nt	>>1<<	0
gumbo	g^mbo	>1<>0	0
gunnery	g^n-xri	>1<>0>0	0
gunpowder	g^npW-d-R	0	
gusset	g^s-xt	>1<>0<	0
hackney	h@k-ni-	>1<>>0<	0
hammock	h@m-xk-	>1<>0<<	0
hardihood	hardihU-d	>1<<0>2<<	0
harmonic	harmanIk	>0<>1<0<	0
harmonize	harmxnAz-	>1<>0>2<<	0
harpoon	harpu-n	>0<>1<<	0
harsh	harS-	>1<<<	0
haw	hc-	>1<	0
headsman	hE-dzmxn	>1<<<>0<	0
heath	hi-T-	>1<<<	0
hecatomb	hEkxtom-	>1<0>2<<	0
heckle	hEk-L-	>1<<>0	0
heelless	hi-llxs-	>1<<>0<<	0
hegemony	hIJEmxni	>0>1<0>0	0
heighten	hA---t-N	>1<<<<0<	0
helicopter	hElxkapt-R	>1<0>2<>0<	0
hemline	hEmlAn-	>1<>2<<	0
hexagonal	hEX@gxn-L	>0<1<0<0<	0
hibiscus	hAbIskxs	>0>1<>0<	0
hick	hIk-	>1<<	0
hickory	hIk-xri	>1<<0>0	0
holmium	holmixm	>1<>00<	0
hostile	hast-L-	>1<>0<<	0
hunker	h^Gk-R	>1<>0<	0
hussar	h^z-ar	>0<>1<	0
hut	h^t	>1<	0
hypnosis	hIpnosxs	>0<>1>0<	0
hypocrisy	hIpakrxsi	>0<1<>0>0	0
hysterectomy	hIstxrEktxmi	>2<>0>1<>0>0	0
ibis	Abxs	1>0<	0
ice	As-	1<<	0
illusion	Il-uZ-xn	0<>1>0<<	0
illusory	Il-usxri	0<>1<0>0	0
imago	Imego	0<1>0	0
imbecilic	ImbxsIlIk	2<>0>1<0<	0
imbed	ImbEd	0<>1<	0
imitate	Imxtet-	1<0>2<<	0
immature	Im-xtYr-	2<>0>1<<	0
immutability	Im-YtxbIlxti	2<>2<0>1<0<0	0
impartially	ImparSx-l-i	1<>1<<0>>>0	0
impersonation	Imp-Rs-NeS-xn	2<>2<<0<1>0<<	0
imprint	ImprInt	0<>>1<<	0
impudent	ImpYdxnt	1<>0<0<<	0
incarcerate	Inkarsxret-	0<>1<>0>2<<	0
incisor	InsAz-R	0<>1>0<	0
incoherent	InkohIrxnt	2<>0>1<0<<	0
inconspicuous	InkxnspIkYx-s	2<>0<>>1<00<<	0
incorruptible	Inkxr-^ptxbL-	2<>0<>1<>0>>0	0
inculcation	Ink^lkeS-xn	2<>2<>1>0<<	0
indivisible	IndxvIzxbL-	2<>0>1<0>>0	0
infest	InfEst	0<>1<<	0
infinitesimal	InfInxtEsxm-L	2<>2<0>1<0>0<	0
inflorescence	InflxrEs--Ns-	2<>>0>1<<0<<<	0
infold	Infold	0<>1<<	0
inform	Infcrm	0<>1<<	0
infrequent	Infrikwxnt	1<>>1>0<<<	0
